eng,myn
I will eat dinner with my friend today.,ဒီနေ့ သူငယ်ချင်းနဲ့ ညစာ စားမယ်။
I eat lunch here every day.,အမြဲတမ်း ဒီမှာ နေ့လယ်စာ စားတယ်။
I did not eat breakfast today.,ဒီနေ့ မနက်စာ မစားခဲ့ဘူး။
Ms Kimura gave me a snack.,မစ္စတာခိမုရက ကျွန်တော့်ကို မုန့် ပေးတယ်။
This dish does not look good.,ဒီဟင်းက စားကောင်းမယ့်ပုံမပေါ်ဘူး။
"That shop is cheap, but the food does not taste good.",အဲဒီဆိုင်က ဈေးပေါပေမဲ့ စားလို့ မကောင်းဘူး။
Mr Hayashi's boxed lunch looks yummy.,မစ္စတာဟယရှိရဲ့ ထမင်းဘူးက စားချင်စရာကောင်းလိုက်တာ။
This snack is yummy.,ဒီမုန့်က စားလို့ ကောင်းတယ်။
"I was busy, so I couldn't eat lunch.",အလုပ်များလို့ နေ့လယ်စာ မစားလိုက်ရဘူး။
This curry is very spicy.,ဒီကာရီဟင်းက အရမ်း စပ်တယ်။
I always eat bread for breakfast.,မနက်စာဆို အမြဲတမ်း ပေါင်မုန့်ပဲ စားတယ်။
Dinner today will be curry.,ဒီနေ့ ညစာက ထမင်းဖြူနဲ့ မဆလာဟင်းပါ။
Today's dinner is curry.,ဒီနေ့ညစာကတော့ ကာရီ ဖြစ်ပါတယ်။
I got the salt for Mr Lee.,မစ္စတာလီကို ဆား ယူပေးတယ်။
"I put in sugar and salt, and cook a meal.",ဟင်းထဲကို သကြားနဲ့ ဆား ထည့်ချက်တယ်။
My brother has a strong body.,ညီလေးက ကိုယ်ခန္ဓာ အရမ်း သန်မာတယ်။
My eyes became tired because I was reading a book in a dark room.,အမှောင်ခန်းထဲမှာ စာအုပ် ဖတ်လိုက်တာ မျက်စိ ညောင်းသွားတယ်။
"Mr Yamada has bad eyesight, so he is wearing glasses.",မစ္စတာယာမာဒါက မျက်စိ မကောင်းလို့ မျက်မှန် တပ်ထားတယ်။
That dog has big ears.,ဟိုခွေးက နားရွက် ကြီးတယ်။
My little sister has big eyes and is high-nosed.,ညီမလေးက မျက်လုံး ပြူးပြီး နှာခေါင်း ချွန်တယ်။
I cannot open my mouth because my teeth hurt.,သွားနာလို့ ပါးစပ် ဟလို့မရဘူး။
I wash my hands before eating.,ထမင်း မစားခင် လက်ဆေးတယ်။
My legs are tired because I walked so much.,လမ်း အများကြီး လျှောက်လိုက်လို့ ခြေထောက် ညောင်းသွားတယ်။
That person has really long legs.,အဲဒီလူရဲ့ ခြေထောက်က အရှည်ကြီးပဲ။
I wash my body in the bathroom.,ရေချိုးခန်းမှာ ကိုယ်လက် သန့်စင်တယ်။
"Before I go to sleep, I brush my teeth.",အမြဲတမ်း မအိပ်ခင် သွားတိုက်တယ်။
"I was busy yesterday, so I got very tired.",မနေ့က အလုပ်များလို့ အရမ်း ပင်ပန်းသွားတယ်။
Mr Yamada is in the classroom.,မစ္စတာယာမာဒါက စာသင်ခန်းထဲမှာ ရှိတယ်။
Mr Kobayashi has a blue umbrella.,မစ္စတာခိုဘာယာရှိက အပြာရောင်ထီးကို ကိုင်ထားတယ်။
I bought white shoes at the department store yesterday.,မနေ့က ကုန်တိုက်မှာ အဖြူရောင်ဖိနပ် ဝယ်ခဲ့တယ်။
The person who is wearing a yellow shirt is Mr Hayashi.,အဝါရောင်ရှပ်အင်္ကျီ ဝတ်ထားတဲ့တစ်ယောက်က မစ္စတာဟယရှိပါ။
Mr Tanaka's car is big and white.,မစ္စတာတာနာခါရဲ့ ကားက အဖြူရောင်ခပ်ကြီးကြီးကားပါ။
"When I go to work, I wear a black suit.",ကုမ္ပဏီ သွားတဲ့အခါ အနက်ရောင်အနောက်တိုင်းဝတ်စုံကို ဝတ်တယ်။
Mr Tanaka has a green tie on.,မစ္စတာတာနာခါက အစိမ်းရောင်နက်ကတိုင်ကို စည်းထားတယ်။
Ms Kimura's hair is brown.,မစ္စတာခိမုရရဲ့ ဆံပင်က အနီရောင်ပါ။
I like red more than blue.,ကျွန်တော် အနီထက် အပြာကို ပိုကြိုက်တယ်။
My favourite colour is blue.,ကျွန်တော် ကြိုက်တဲ့အရောင်က အပြာပါ။
This colour is very pretty.,ဒီအရောင်က အရမ်း လှတယ်။
I received a yellow handkerchief for my birthday.,မွေးနေ့မှာ အဝါရောင်လက်ကိုင်ပဝါလေး လက်ဆောင်ရတယ်။
I put a vase on the table.,ပန်းအိုးကို စားပွဲပေါ်မှာ ထားလိုက်တယ်။
There is a cat under the chair.,ထိုင်ခုံအောက်မှာ ကြောင် ရှိတယ်။
"If you turn right at that corner, there is a supermarket.",ဟိုထောင့်ကနေ ညာဘက်ကွေ့ရင် စူပါမားကက် ရှိတယ်။
This bag has an external side pocket.,ဒီလွယ်အိတ်က အပြင်ဘက်ခြမ်းမှာ အိတ်ကပ် ရှိတယ်။
The toilet is on the left side of the hallway.,အိမ်သာက လျှောက်လမ်းလေးရဲ့ ဘယ်ဘက်ခြမ်းမှာ ရှိတယ်။
The notebook is inside the bag.,ဗလာစာအုပ်က လွယ်အိတ်ထဲမှာ ရှိတယ်။
There is a television in that room.,ဟိုစာသင်ခန်းထဲမှာ တီဗွီ ရှိတယ်။
There are a dog and a cat in my house.,အိမ်မှာ ခွေးနဲ့ ကြောင် ရှိတယ်။
Mr Lee is in the library right now.,မစ္စတာလီက အခု စာကြည့်တိုက်မှာ ရှိတယ်။
"During the winter, the northern part of Japan gets very cold.",ဆောင်းတွင်း ရောက်ရင် ဂျပန်ရဲ့ မြောက်ဘက်ပိုင်းမှာ အရမ်း အေးတယ်။
"My room faces the south, so it is bright.",ကျွန်တော့်အခန်းက တောင်ဘက်မှာ ရှိလို့ အလင်းရောင် ကောင်းတယ်။
There is a forest on the east side of this town.,ဒီမြို့ရဲ့ အရှေ့ဘက်က အားလုံး သစ်တောတွေပါ။
"If you head a little bit more west, there is a beach.",ဒီကနေ အနောက်ဘက်ကို နည်းနည်း သွားရင် ပင်လယ် ရှိတယ်။
Ms Kimura's elder sister is very beautiful.,မစ္စတာခိမုရရဲ့ အစ်မက အရမ်း ချောတဲ့မိန်းကလေး။
My parents are overseas.,အခု ကျွန်တော့်မိဘတွေ နိုင်ငံခြားမှာ နေတယ်။
I gave my mother a birthday present.,အမေ့ကို မွေးနေ့လက်ဆောင် ပေးတယ်။
My elder sister is living by herself in Tokyo right now.,အခု အစ်မက တိုကျိုမှာ တစ်ယောက်တည်း နေနေတယ်။
Mr Tanaka's wife is a university lecturer.,မစ္စတာတာနာခါရဲ့ အမျိုးသမီးက တက္ကသိုလ်ကဆရာမပါ။
Mr Lee's elder brother will come to Japan next week.,နောက်အပတ် မစ္စတာလီရဲ့ အစ်ကို ဂျပန်ကို အလည်လာမယ်။
Mr Yamada's mum is very good at cooking.,မစ္စတာယာမာဒါရဲ့ အမေက ဟင်းချက် အရမ်း တော်တယ်။
Ms Kobayashi's husband works at a hospital.,မစ္စတာဟယရှိရဲ့ အမျိုးသားက ဆေးရုံမှာ အလုပ်လုပ်နေတယ်။
Mr Yamada's little sister is short and cute.,မစ္စတာယာမာဒါရဲ့ ညီမလေးက အရပ်က ပုပုလေးနဲ့ ချစ်စရာ ကောင်းတယ်။
Mr Kobayashi's little brother plays football.,မစ္စတာဟယရှိရဲ့ ညီလေးက ဘောလုံး ကစားနေတယ်။
I have two brothers.,ကျွန်တော့်မှာ ညီအစ်ကိုမောင်နှမ နှစ်ယောက် ရှိပါတယ်။
That beautiful woman is Ms Kimura.,ဟိုအမျိုးသမီးချောလေးက မစ္စခိမုရပါ။
There are children playing in the park.,ကလေးလေး ပန်းခြံမှာ ကစားနေတယ်။
There is a small girl over there.,ဟိုမှာ ကောင်မလေးငယ်ငယ်လေး တစ်ယောက် ရှိတယ်။
That middle-aged man at the vegetable shop is always buoyant.,အဲ့ဒီဟင်းသီးဟင်းရွက်ဆိုင်ကဦးလေးကြီးက အမြဲတမ်း တက်ကြွနေတာပဲ။
Mr Kobayashi's aunt lives in Tokyo.,မစ္စတာခိုဘာယာရှိရဲ့ အဒေါ်က တိုကျိုမှာ နေတယ်။
I told an old man the way.,ကျွန်တော် အဘိုးကို လမ်းညွှန်ပေးလိုက်တယ်။
Mr Hayashi's grandmother wears glasses.,မစ္စတာဟယရှိရဲ့ အဘွားက မျက်မှန်တပ်ထားတယ်။
"When you become an adult, you can drink alcohol.",အရွယ်ရောက်ရင် အရက်သောက်လို့ရတယ်။
Mr Matsui and Mr Lee are friends.,မစ္စတာမဆုအိနဲ့ မစ္စတာလီက သူငယ်ချင်းတွေပါ။
I have Thai friends.,ကျွန်တော့်မှာ ထိုင်းလူမျိုးသူငယ်ချင်း ရှိတယ်။
That man is tall and has long legs.,အဲဒီအမျိုးသားက အရပ်ကြီး မြင့်ပြီး ခြေထောက်ကြီးကလည်း အရှည်ကြီး။
A boy is climbing a tree over there.,ဟိုမှာ ကောင်လေးတစ်ယောက် သစ်ပင်ပေါ် တက်နေတယ်။
Please wait for two minutes.,နှစ်မိနစ် စောင့်ပါ။
"Today is a Sunday, but I will go to the office.",ဒီနေ့ တနင်္ဂနွေနေ့ ဆိုပေမဲ့ ကုမ္ပဏီ သွားရမယ်။
Mr Yamada will be going to Tokyo next month.,မစ္စတာယာမာဒါ နောက်လမှာ တိုကျိုကို သွားမယ်တဲ့။
You should work over there.,နင် ဟိုဘက်မှာ အလုပ်လုပ်နေပါ။
That cup is yours.,အဲဒီခွက်က မင်းဟာပါ။
It is me who cooks dinner every day.,ညစာကို နေ့တိုင်း ကိုယ်ပဲ ချက်တယ်။
The restroom is this way.,သန့်စင်ခန်းက ဒီဘက်မှာပါ။
This is Mr Kobayashi.,ဒီဘက်က မစ္စတာခိုဘာယာရှိပါ။
"I cannot sit here, so I will sit there.",ဒီမှာ ထိုင်လို့မရလို့ ဟိုမှာ ထိုင်မယ်။
That building was built in 794.,ဟိုဘက်ကအဆောက်အအုံက ခုနစ်ရာကိုးဆယ့်လေးနှစ်က ဆောက်ထားတာ။
That is Mr Yamada.,ဟိုဘက်က မစ္စတာယာမာဒါပါ။
The cafeteria is in that building over there.,စားသောက်ဆိုင်က ဟိုကအဆောက်အအုံထဲမှာ ရှိတယ်။
Don't go that way because it is dangerous.,အန္တရာယ်ရှိလို့ အဲဒီကို မသွားပါနဲ့။
That is Mr Lee.,အဲဒီဘက်က မစ္စတာလီပါ။
"If you go there, there is a post office and a bank.",အဲဒီကို သွားရင်တော့ စာတိုက်နဲ့ ဘဏ် ရှိတယ်။
I went on a trip abroad last month.,ရှေ့လက နိုင်ငံခြားကို ခရီးထွက်ခဲ့တယ်။
Every month I deposit money in the bank.,လစဉ် ဘဏ်မှာ ငွေအပ်တယ်။
That supermarket will be closed on Wednesdays this month.,ဒီလ ဟိုစူပါမားကက်က ဗုဒ္ဓဟူးနေ့ ပိတ်တယ်။
I was very busy with work this month.,ဒီလ အလုပ် အရမ်း ရှုပ်တယ်။
I studied English in America for three months.,အမေရိကမှာ အင်္ဂလိပ်စာကို သုံးလ လေ့လာခဲ့တယ်။
Mr Matsui's birthday is in August.,မစ္စတာမဆုအိရဲ့ မွေးနေ့က ရှစ်လပိုင်းမှာပါ။
Tomorrow is 1 April.,မနက်ဖန် ဧပြီလ တစ်ရက်နေ့ပါ။
Every month I write a letter to my friend overseas.,လတိုင်း နိုင်ငံခြားကသူငယ်ချင်းဆီကို စာရေးတယ်။
Mr Hayashi will go abroad for work for one month from next week.,မစ္စတာဟယရှိ နောက်လကနေစပြီး တစ်လကြာ အလုပ်ကိစ္စနဲ့ နိုင်ငံခြားကို သွားမယ်။
"Although I cut my hair last month, it has already become long.",ရှေ့လကမှ ဆံပင်ညှပ်ထားတာ ပြန်ရှည်လာပြန်ပြီ။
Every year I go on a family trip.,နှစ်တိုင်း မိသားစုနဲ့ ခရီးထွက်တယ်။
Last year was a good year.,မနှစ်က ကောင်းတဲ့နှစ်တစ်နှစ် ဖြစ်တယ်။
I climbed this mountain two years ago.,ကျွန်တော် တမြန်နှစ်က ဒီတောင်ကို တက်ခဲ့တယ်။
Mr Tanaka graduated from university two years ago.,တမြန်နှစ်က မစ္စတာတာနာခါ တက္ကသိုလ်ထွက်ခဲ့တယ်။
It is hotter this year than last year.,မနှစ်ကထက်စာရင် ဒီနှစ်က ပိုပူတယ်။
I will learn the guitar starting this year.,ကျွန်တော် ဒီနှစ်ကစပြီး ဂီတာတီး သင်မယ်။
I am thinking of buying a new car next year.,နောက်နှစ်ကျရင် ကျွန်တော် ကားအသစ် ၀ယ်မယ်လို့ စိတ်ကူးထားတယ်။
"Starting next year, my brother will work at a bank.",ကျွန်တော့်အစ်ကို လာမယ့်နှစ်ကစပြီး ဘဏ်မှာ အလုပ်ဝင်မယ်။
I will go back home in two years.,နောက်နှစ်ရဲ့ နောက်တစ်နှစ်ကျရင် နိုင်ငံကို ခဏပြန်မယ်။
A library will be built there in two years.,နောက်နှစ်နှစ်ကျရင် အဲဒီမှာ စာကြည့်တိုက် ဖွင့်မယ် ကြားတယ်။
Every year I give my mother a present on her birthday.,နှစ်တိုင်း အမေ့ကို မွေးနေ့လက်ဆောင် ပေးတယ်။
I married my wife five years ago.,လွန်ခဲ့တဲ့ငါးနှစ်တုန်းက အမျိုးသမီးနဲ့ လက်ထပ်ခဲ့တယ်။
Mr Lee will be in Japan for three years.,မစ္စတာလီက ဂျပန်မှာ သုံးနှစ် နေမယ်လို့ စဉ်းစားထားတယ်။
I will meet Ms Kimura at the station this evening.,ဒီည ဘူတာမှာ မစ္စတာခိမုရနဲ့ တွေ့မယ်။
"I will meet Mr Lee tomorrow, and I will give him a souvenir.",မနက်ဖန် မစ္စတာလီနဲ့ တွေ့ပြီး လက်ဆောင်ပေးမယ်။
"It is a little hot, so I will open the window.",နည်းနည်း အိုက်လို့ ပြတင်းပေါက် ဖွင့်မယ်။
I will go into the room by opening the door.,တံခါး ဖွင့်ပြီး အခန်းထဲ ဝင်မယ်။
Don't open that window because it is dangerous.,အန္တရာယ် ရှိလို့ ဟိုကပြတင်းပေါက်ကို မဖွင့်ရဘူး။
I will raise my hand.,လက်ကို အပေါ်ကို မြှောက်တယ်။
I will put the things I do not use on top of the bookcase.,မသုံးတဲ့ ပစ္စည်းကို စာအုပ်စင်ပေါ် တင်မယ်။
"Mr Kobayashi has work tomorrow, so he cannot come.",မနက်ဖန် မစ္စတာခိုဘာယာရှိ အလုပ်ရှိလို့ မလာနိုင်ဘူး။
I do not have any money right now.,ကျွန်တော် အခု ပိုက်ဆံ မရှိဘူး။
I didn't go to school because I had a fever yesterday.,မနေ့က ဖျားလို့ ကျောင်းမသွားဘူး။
I will go to my friend's house after class.,အတန်းပြီးရင် သူငယ်ချင်းအိမ် သွားမယ်။
I need a dictionary because we will be writing an essay in class tomorrow.,မနက်ဖန် အတန်းမှာ စာစီစာကုံး ရေးရမှာမို့လို့ အဘိဓာန် လိုတယ်။
We need a ticket to ride the train.,ရထား စီးတဲ့အခါ လက်မှတ် လိုတယ်။
I will switch on the light.,ဖွင့်ပိတ်ခလုတ်ကို ဖွင့်ပြီး မီးထွန်းတယ်။
I will turn on the computer.,ကွန်ပျူတာဖွင့်ပိတ်ခလုတ်ကို ဖွင့်တယ်။
Mr Tanaka was born in Tokyo.,မစ္စတာတာနာခါရဲ့ မွေးရပ်က တိုကျိုပါ။
I was born on 26 August.,ကျွန်တော့်ကို ရှစ်လပိုင်း နှစ်ဆယ့်ခြောက်ရက်မှာ မွေးခဲ့တယ်။
That shop has tasty snacks.,ဟိုဆိုင်မှာ စားလို့ကောင်းတဲ့မုန့်တွေ ရောင်းတယ်။
This is food that is not sold in Japan.,ဒါ ဂျပန်မှာ မရောင်းတဲ့စားစရာ။
You cannot put things here.,ဒီမှာ ပစ္စည်း ထားလို့မရဘူး။
"If you push here, coffee will come out.",ဒီနေရာကို နှိပ်ရင် ကော်ဖီ ထွက်တယ်။
I didn't remember that person.,ကျွန်တော် အဲဒီလူ(ရဲ့ အကြောင်း)ကို မမှတ်မိဘူး။
I remember Japanese by watching TV every day.,နေ့တိုင်း တီဗွီ ကြည့်ပြီး ဂျပန်စာကို မှတ်တယ်။
I will go eat dinner after I finish work.,အလုပ် ပြီးရင် ညစာ သွားစားမယ်။
"If you send a letter by sea, it will take time.",ရေကြောင်းနဲ့ စာပို့ရင် အချိန် အရမ်း ကြာတယ်။
It takes 10 minutes by bus from the station to the hospital.,ဘူတာကနေ ဆေးရုံကို ဘတ်စကားနဲ့ ဆယ်မိနစ် ကြာတယ်။
"I called home, but no one was home.",အိမ်ကို ဖုန်းဆက်ပေမဲ့ ဘယ်သူမှ မရှိဘူး။
I will call my friend this evening.,ဒီည သူငယ်ချင်းဆီ ဖုန်းဆက်မယ်။
I turned on the heater quickly when it went out.,မီးဖို ငြိမ်းသွားလို့ ချက်ချင်း ပြန်ထွန်းလိုက်တယ်။
The lights in the room went out.,အခန်းမီး ပြတ်သွားပြီ။
I will turn off the computer.,ကွန်ပျူတာခလုတ်ကို ပိတ်တယ်။
My sister will marry next spring.,နောက်နှစ် နွေဦးကျရင် အစ်မ မင်္ဂလာဆောင်မယ်။
Mr Tanaka is married and has children.,မစ္စတာတာနာခါက လက်ထပ်ပြီးသား သားကလေး ရှိတယ်။
There are a lot of pretty flowers in bloom in the park.,ပန်းခြံမှာ ပန်းလှလှလေးတွေ အများကြီး ပွင့်နေတယ်။
These flowers will blossom in the spring.,ဒီပန်းက နွေဦးရောက်ရင် ပွင့်တယ်။
It was troubling for me because I lost my passport while I was abroad.,နိုင်ငံခြားမှာ ပတ်စပို့ ပျောက်သွားလို့ ဒုက္ခရောက်ခဲ့တယ်။
"It is raining, so I will put up an umbrella and go to school.",မိုးရွာနေလို့ ကျောင်းကို ထီးဆောင်းသွားတယ်။
A big bookstore was built in front of the university.,တက္ကသိုလ်ကျောင်းရှေ့မှာ စာအုပ်ဆိုင်ကြီးတစ်ဆိုင် လာဖွင့်ထားတယ်။
I close the door when I get into the room.,အခန်းထဲကို ဝင်ရင် တံခါး ပိတ်တယ်။
Mr Kobayashi did not know the restaurant.,မစ္စတာခိုဘာယာရှိက အဲဒီစားသောက်ဆိုင်ကို မသိဘူး။
I know Mr Yamada's telephone number.,ကျွန်တော် မစ္စတာယာမာဒါရဲ့ ဖုန်းနံပါတ်ကို သိတယ်။
I will stand and sing a song.,မတ်တပ်ရပ်ပြီး သီချင်းဆိုတယ်။
Ms Kimura is standing over there.,ဟိုမှာ မစ္စတာခိမုရ ရပ်နေတယ်။
Mr Tanaka was asked to do work by Mr Hayashi.,မစ္စတာခိုဘာယာရှိက မစ္စတာတာနာခါကို အလုပ်လုပ်ပေးဖို့ တောင်းဆိုတယ်။
My mum always asks me to do the shopping.,အမေ အမြဲတမ်း ကျွန်တော့်ကို ဈေးဝယ်ခိုင်းတယ်။
The languages spoken in Japan are different from those in overseas countries.,ဂျပန်နဲ့ နိုင်ငံခြားက ဘာသာစကား ကွဲပြားတယ်။
This is my notebook.,ဒါ ကျွန်တော့်မှတ်စုစာအုပ်ပါ။
I will leave work early this evening and go home.,ဒီည စောစော ကုမ္ပဏီ ဆင်းပြီး အိမ်ပြန်မယ်။
I will take whatever food I like.,ဘာဖြစ်ဖြစ် ကြိုက်တဲ့ စားစရာကို ယူတယ်။
I passed the soy sauce to Mr Lee.,မစ္စတာလီကို ပဲငံပြာရည် ယူပေးလိုက်တယ်။
This lift will stop from the second floor to the ninth floor.,ဒီဓာတ်လှေခါးက နှစ်ထပ်ကနေ ကိုးထပ်အထိ ရပ်တယ်။
A car stopped in front of me.,ကျွန်တော့်ရှေ့မှာ ကား လာရပ်တယ်။
I will not forget to return the book to you.,မနက်ဖန် မမေ့မလျော့ စာအုပ် ပြန်ပေးမယ်။
I forgot my umbrella in the train yesterday.,မနေ့က ရထားပေါ်မှာ ထီးမေ့ကျန်ခဲ့တယ်။
I will ask my teacher a question because there is a question I do not understand.,နားမလည်တာ ရှိလို့ ဆရာ့ကို မေးမယ်။
Mr Lee understands Japanese.,မစ္စတာလီ ဂျပန်စကား နားလည်တယ်။
I gave a map of this town to Mr Kimura yesterday.,မနေ့က မစ္စတာခိမုရကို ဒီမြို့ရဲ့  မြေပုံ ပေးလိုက်တယ်။
I will call a taxi.,တက္ကစီ တစ်စီး ခေါ်မယ်။
The teacher called Mr Yamada's name.,ဆရာက မစ္စတာယာမာဒါရဲ့ နာမည်ကို ခေါ်လိုက်တယ်။
"I worked for a long time, so I took a little rest.",နာရီ အတော်ကြာကြာ အလုပ်လုပ်ခဲ့ရလို့ နည်းနည်း အနားယူလိုက်တယ်။
I am waiting for the bus.,ကျွန်တော် ဘတ်စကား စောင့်နေတယ်။
I will wait for Mr Kobayashi at the station this evening.,ဒီည ကျွန်တော် ဘူတာမှာ မစ္စတာခိုဘာယာရှိကို စောင့်မယ်။
Ms Kimura showed me the picture.,မစ္စတာခိမုရက ကျွန်တော့်ကို ဓာတ်ပုံ ပြတယ်။
I have climbed that mountain before.,ကျွန်တော် အဲဒီတောင်ကို တက်ဖူးတယ်။
I will climb the mountain with my friend on the weekend.,စနေတနင်္ဂနွေမှာ သူငယ်ချင်းနဲ့ တောင်တက်မယ်။
I am learning Japanese from that teacher.,ကျွန်တော် အဲဒီဆရာဆီမှာ ဂျပန်စာ သင်နေတယ်။
"Yesterday, Mr Lee learned Kanji from Mr Matsui.",မစ္စတာလီ မနေ့က မစ္စတာမဆုအိဆီမှာ ခန်းဂျီး သင်တယ်။
University starts in April.,လေးလပိုင်းကနေ တက္ကသိုလ် စတယ်။
Class starts at 9.00 in the morning.,မနက်ကိုးနာရီကနေ သင်ခန်းစာအသစ်[အတန်း] စမယ်။
There are a lot of books arranged on the bookshelf.,စာအုပ်စင်မှာ စာအုပ်တွေ အများကြီး စီထားတယ်။
I will lay out the plates on the table.,စားပွဲမှာ ပန်းကန်တွေကို စီမယ်။
There are a lot of people lined up in front of the restaurant.,စားသောက်ဆိုင်ရှေ့မှာ လူတွေ အများကြီး တန်းစီနေတယ်။
I waited in queue for an hour to watch the film yesterday.,မနေ့က ရုပ်ရှင်ကြည့်ဖို့ တစ်နာရီ တန်းစီခဲ့ရတယ်။
I want to become a doctor when I graduate from university.,တက္ကသိုလ်ပြီးရင် သွားဆရာဝန် ဖြစ်ချင်တယ်။
"In summer, it becomes hot.",နွေ ရောက်ရင် ပူလာမယ်။
I will graduate from university next year.,နောက်နှစ်မှာ ကျွန်တော် တက္ကသိုလ်ပြီးမယ်။
I will go to school starting Monday morning.,တနင်္လာနေ့ဆို မနက်ကတည်းက ကျောင်းသွားတယ်။
You must return the book by Tuesday.,အင်္ဂါနေ့ မကျော်ခင်အထိ စာအုပ် ပြန်မအပ်လို့မဖြစ်ဘူး။
That hospital is closed on Wednesdays and Sundays.,ဟိုနားကဆေးရုံက ဗုဒ္ဓဟူးနေ့နဲ့ တနင်္ဂနွေနေ့ ပိတ်တယ်။
I will go to the bank and transfer some money on Thursday afternoon.,ကြာသပတေးနေ့နေ့လယ်ပိုင်းကျရင် ဘဏ်မှာ ငွေသွားသွင်းမယ်။
I always play with my friends on Fridays because the next day is a day off.,နောက်တစ်ရက်က ပိတ်ရက်မို့လို့ သောကြာနေ့ဆို အမြဲတမ်း သူငယ်ချင်းနဲ့ လျှောက်လည်တယ်။
I will eat dinner at Mr Hayashi's house this Saturday.,စနေနေ့ကျရင် မစ္စတာဟယရှိရဲ့  အိမ်မှာ ညစာစားမယ်။
It was my mother's birthday last week.,ရှေ့အပတ်တုန်းက အမေ့မွေးနေ့။
There will not be Japanese class this week.,ဒီအပတ် ဂျပန်စာအတန်း မရှိဘူး။
I will study because I have a test next week.,နောက်အပတ် စာမေးပွဲရှိလို့ စာဖတ်မယ်။
Next week is my sister's wedding.,နောက်အပတ် အစ်မ မင်္ဂလာဆောင်မယ်။
I practise football on Sunday every week.,အပတ်စဉ် စနေနေ့တိုင်း ဘောလုံး လေ့ကျင့်တယ်။
"Last year, I went on a trip abroad with my friend.",မနှစ်က သူငယ်ချင်းနဲ့ နိုင်ငံခြား အလည်ခရီး ထွက်ခဲ့တယ်။
"The day before yesterday, I bought new shoes at the department store.",တစ်နေ့က ကုန်တိုက်မှာ ဖိနပ်အသစ် ဝယ်ခဲ့တယ်။
"It was cold the day before yesterday, so it snowed.",တစ်နေ့က အေးလို့ နှင်းတွေ ကျတယ်။
A new restaurant was built in front of the station yesterday.,မနေ့က ဘူတာရှေ့မှာ စားသောက်ဆိုင်သစ်တစ်ဆိုင် ဖွင့်ထားတာ တွေ့လိုက်တယ်။
I sent a letter to my mother yesterday.,မနေ့က အမေ့ဆီ စာပို့လိုက်တယ်။
I was absent from school because I was sick.,ဒီနေ့ အအေးမိလို့ ကျောင်းမသွားဘူး။
"Today, I will go watch a film with Mr Lee.",ဒီနေ့ မစ္စတာလီနဲ့ ရုပ်ရှင် သွားကြည့်မယ်။
"Starting tomorrow, I will study kanji every day.",မနက်ဖန်ကစပြီး နေ့တိုင်း ခန်းဂျီး လေ့လာမယ်။
I must go to the embassy tomorrow.,မနက်ဖန် သံရုံး မသွားလို့မဖြစ်ဘူး။
I am thinking of going to the beach to swim the day after tomorrow.,သန်ဘက်ခါ ပင်လယ်မှာ ရေသွားကူးမယ်လို့ စိတ်ကူးထားတယ်။
There is a baseball game the day after tomorrow.,သန်ဘက်ခါ ဘေ့စ်ဘောပြိုင်ပွဲ ရှိတယ်။
I went to sleep early last night because I was tired.,မနေ့ညက ပင်ပန်းလို့ အစောကြီး အိပ်တယ်။
I went to eat dinner with Ms Kimura last night.,မနေ့ညက မစ္စတာခိမုရနဲ့ ညစာ သွားစားတယ်။
"Starting next week, we have a test every day.",နောက်အပတ်ကစပြီး နေ့တိုင်း စာမေးပွဲ ရှိတယ်။
I read the newspaper every morning and go to work.,မနက်တိုင်း သတင်းစာ ဖတ်ပြီး ကုမ္ပဏီ သွားတယ်။
I wake up at 6.00 every morning.,နေ့တိုင်း ခြောက်နာရီမှာ အိပ်ရာထတယ်။
Every night I read a book before going to sleep.,ညတိုင်း မအိပ်ခင် စာအုပ် ဖတ်တယ်။
I study English for two hours every night.,ညတိုင်း နှစ်နာရီကြာလောက် အင်္ဂလိပ်စာကို လေ့လာတယ်။
"This hotel is 7,800 yen a day.",ဒီဟိုတယ်က တစ်နေ့ကို ယန်းခုနစ်ထောင့်ရှစ်ရာပါ။
"It was raining yesterday, so I was at my house the whole day.",ဒီနေ့ မိုးရွာလို့ တစ်နေ့လုံး အိမ်မှာ ရှိတယ်။
My mother was born on the 29th of November.,အမေ့ကို ဆယ့်တစ်လပိုင်း နှစ်ဆယ့်ကိုးရက်နေ့မှာ မွေးခဲ့တယ်။
I left the house without eating this morning.,ဒီမနက်က ထမင်းမစားဘဲ အိမ်က ထွက်တယ်။
The weather is nice this morning.,ဒီမနက်က ရာသီဥတုသာယာတယ်။
My friend is going to stay at my house tonight.,ဒီည သူငယ်ချင်း အိမ်မှာ လာတည်းမယ်။
It is very cold tonight.,ဒီည အရမ်း အေးတယ်။
"Today, we had class from morning until evening.",ဒီနေ့ မနက်ကနေ ညနေအထိ အတန်း ရှိတယ်။
I always ride the train at eight o'clock in the morning.,အမြဲတမ်း မနက်ရှစ်နာရီရထားကို စီးတယ်။
I went to a cafe with Mr Kimura during lunchtime yesterday.,မနေ့နေ့လယ်က မစ္စတာခိမုရနဲ့ ကော်ဖီဆိုင် သွားတယ်။
I rest for an hour during lunchtime every day.,နေ့တိုင်း နေ့လယ်ပိုင်းဆို တစ်နာရီ နားတယ်။
I need to finish this work by evening.,ညနေ မစောင်းခင်ထိ ဒီအလုပ်ကို ပြီးအောင် လုပ်ရမယ်။
